party,un_share,un_share_fraction,inverted_share,total_allocation,state_envelope,iplc_envelope,World Bank Income Group,Party Status
Belize,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
Bhutan,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
Burundi,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Low income,Party
Cabo Verde,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
Central African Republic,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Low income,Party
Comoros,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
Dominica,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
Eritrea,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Low income,Party
Gambia,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Low income,Party
Grenada,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
Guinea-Bissau,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Low income,Party
Kiribati,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
Lesotho,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
Liberia,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Low income,Party
Marshall Islands,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
Micronesia (Federated States of),0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
Nauru,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,High income,Party
Palau,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,High income,Party
Saint Kitts and Nevis,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,High income,Party
Samoa,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
Sierra Leone,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Low income,Party
Solomon Islands,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
St. Vincent and the Grenadines,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
São Tomé and Príncipe,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
Timor-Leste,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
Tonga,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
Tuvalu,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Upper middle income,Party
Vanuatu,0.001,0.00001,0.022536635788312095,22.536635788312097,11.268317894156048,11.268317894156048,Lower middle income,Party
Cook Islands,0,0,0,0,0,0,Not Available,Party
European Union,0,0,0,0,0,0,Not Available,Party
Niue,0,0,0,0,0,0,Not Available,Party
West Bank and Gaza,0,0,0,0,0,0,Lower middle income,Party
