party,un_share,region,sub_region,intermediate_region,is_ldc,is_sids,has_income_data,WB Income Group,is_eu_ms,is_cbd_party,land_area_km2,has_land_area,un_band,un_band_weight,eligible,iusaf_share,tsac_share,sosac_share,final_share,inverted_share,total_allocation,iplc_component,state_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt
Barbados,0.007,Americas,Latin America and the Caribbean,Caribbean,False,True,True,High income,False,True,430.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,5.497310720606982e-06,0.02564102564102564,0.0075668912556818325,0.0075668912556818325,7.566891255681832,3.783445627840916,3.783445627840916,6.7973856209150325,0.00027486553603034913,0.7692307692307692
Cuba,0.122,Americas,Latin America and the Caribbean,Caribbean,False,True,True,Upper middle income,False,True,103800.0,True,Band 4: 0.1% - 1.0%,0.95,True,0.005399261153736857,0.0013270252390674528,0.02564102564102564,0.00580290229262205,0.00580290229262205,5.802902292622051,2.9014511463110253,2.9014511463110253,4.967320261437909,0.06635126195337264,0.7692307692307692
Dominica,0.001,Americas,Latin America and the Caribbean,Caribbean,False,True,True,Upper middle income,False,True,750.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,9.58833265222148e-06,0.02564102564102564,0.00861284744076534,0.00861284744076534,8.61284744076534,4.30642372038267,4.30642372038267,7.8431372549019605,0.000479416632611074,0.7692307692307692
Dominican Republic,0.069,Americas,Latin America and the Caribbean,Caribbean,False,True,True,Upper middle income,False,True,48198.02,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.0006161848652512319,0.02564102564102564,0.006551673999421436,0.006551673999421436,6.551673999421436,3.275836999710718,3.275836999710718,5.7516339869281055,0.030809243262561594,0.7692307692307692
Grenada,0.001,Americas,Latin America and the Caribbean,Caribbean,False,True,True,Upper middle income,False,True,340.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,4.346710802340404e-06,0.02564102564102564,0.008612585359672846,0.008612585359672846,8.612585359672845,4.306292679836423,4.306292679836423,7.8431372549019605,0.00021733554011702023,0.7692307692307692
Haiti,0.006,Americas,Latin America and the Caribbean,Caribbean,True,True,True,Lower middle income,False,True,27560.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.00035233926386029864,0.02564102564102564,0.007584233353338817,0.007584233353338817,7.584233353338816,3.792116676669408,3.792116676669408,6.7973856209150325,0.017616963193014933,0.7692307692307692
Jamaica,0.007,Americas,Latin America and the Caribbean,Caribbean,False,True,True,Upper middle income,False,True,10830.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.00013845552349807817,0.02564102564102564,0.007573539166320706,0.007573539166320706,7.573539166320706,3.786769583160353,3.786769583160353,6.7973856209150325,0.006922776174903909,0.7692307692307692
Saint Kitts and Nevis,0.001,Americas,Latin America and the Caribbean,Caribbean,False,True,True,High income,False,True,260.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,3.32395531943678e-06,0.02564102564102564,0.0086125342218987,0.0086125342218987,8.6125342218987,4.30626711094935,4.30626711094935,7.8431372549019605,0.000166197765971839,0.7692307692307692
Trinidad and Tobago,0.033,Americas,Latin America and the Caribbean,Caribbean,False,True,True,High income,False,True,5130.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,6.558419534119492e-05,0.02564102564102564,0.006524143965925934,0.006524143965925934,6.524143965925934,3.262071982962967,3.262071982962967,5.7516339869281055,0.0032792097670597464,0.7692307692307692
Belize,0.001,Americas,Latin America and the Caribbean,Central America,False,True,True,Upper middle income,False,True,22810.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.0002916131570628959,0.02564102564102564,0.008626948681985875,0.008626948681985875,8.626948681985875,4.313474340992937,4.313474340992937,7.8431372549019605,0.014580657853144796,0.7692307692307692
Costa Rica,0.063,Americas,Latin America and the Caribbean,Central America,False,False,True,High income,False,True,51060.0,True,,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Salvador,0.013,Americas,Latin America and the Caribbean,Central America,False,False,True,Upper middle income,False,True,20720.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.00026489367007203875,0.0,0.005764878670431707,0.005764878670431707,5.764878670431707,2.8824393352158535,2.8824393352158535,5.7516339869281055,0.013244683503601938,0.0
Guatemala,0.046,Americas,Latin America and the Caribbean,Central America,False,False,True,Upper middle income,False,True,107160.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.001369980969349405,0.0,0.005820133035395575,0.005820133035395575,5.820133035395576,2.910066517697788,2.910066517697788,5.7516339869281055,0.06849904846747026,0.0
Honduras,0.01,Americas,Latin America and the Caribbean,Central America,False,False,True,Lower middle income,False,True,111890.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.0014304513872760818,0.0,0.006868908190278837,0.006868908190278837,6.8689081902788365,3.4344540951394182,3.4344540951394182,6.7973856209150325,0.07152256936380409,0.0
Mexico,1.137,Americas,Latin America and the Caribbean,Central America,False,False,True,Upper middle income,False,True,1943950.0,True,Band 5: 1.0% - 10.0%,0.75,True,0.004262574595055414,0.02485231901238126,0.0,0.005164184578070044,0.005164184578070044,5.164184578070044,2.582092289035022,2.582092289035022,3.9215686274509802,1.242615950619063,0.0
Nicaragua,0.004,Americas,Latin America and the Caribbean,Central America,False,False,True,Lower middle income,False,True,120340.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.001538479935157777,0.0,0.006874309617672921,0.006874309617672921,6.874309617672921,3.4371548088364605,3.4371548088364605,6.7973856209150325,0.07692399675788886,0.0
Panama,0.086,Americas,Latin America and the Caribbean,Central America,False,False,True,High income,False,True,74180.0,True,,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.49,Americas,Latin America and the Caribbean,South America,False,False,True,Upper middle income,False,True,2736690.0,True,Band 4: 0.1% - 1.0%,0.95,True,0.005399261153736857,0.034987058781344005,0.0,0.0067166732005051084,0.0067166732005051084,6.716673200505109,3.3583366002525543,3.3583366002525543,4.967320261437909,1.7493529390672002,0.0
Brazil,1.411,Americas,Latin America and the Caribbean,South America,False,False,True,Upper middle income,False,True,8358140.0,True,Band 5: 1.0% - 10.0%,0.75,True,0.004262574595055414,0.10685416889845126,0.0,0.009264277072373543,0.009264277072373543,9.264277072373543,4.632138536186772,4.632138536186772,3.9215686274509802,5.342708444922563,0.0
Chile,0.374,Americas,Latin America and the Caribbean,South America,False,False,True,High income,False,True,742831.64,True,,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.197,Americas,Latin America and the Caribbean,South America,False,False,True,Upper middle income,False,True,1109500.0,True,Band 4: 0.1% - 1.0%,0.95,True,0.005399261153736857,0.014184340103519643,0.0,0.00567653726661389,0.00567653726661389,5.676537266613891,2.8382686333069453,2.8382686333069453,4.967320261437909,0.7092170051759823,0.0
Ecuador,0.065,Americas,Latin America and the Caribbean,South America,False,False,True,Upper middle income,False,True,248360.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.0031751443966743023,0.0,0.00591039120676182,0.00591039120676182,5.91039120676182,2.95519560338091,2.95519560338091,5.7516339869281055,0.15875721983371513,0.0
Guyana,0.011,Americas,Latin America and the Caribbean,South America,False,True,True,High income,False,True,211140.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.002699307408253391,0.02564102564102564,0.006655830126571544,0.006655830126571544,6.655830126571543,3.3279150632857717,3.3279150632857717,5.7516339869281055,0.13496537041266954,0.7692307692307692
Paraguay,0.023,Americas,Latin America and the Caribbean,South America,False,False,True,Upper middle income,False,True,396012.03,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.005062793437228683,0.0,0.006004773658789539,0.006004773658789539,6.004773658789539,3.0023868293947693,3.0023868293947693,5.7516339869281055,0.25313967186143416,0.0
Peru,0.145,Americas,Latin America and the Caribbean,South America,False,False,True,Upper middle income,False,True,1280000.0,True,Band 4: 0.1% - 1.0%,0.95,True,0.005399261153736857,0.016364087726457994,0.0,0.005785524647760809,0.005785524647760809,5.785524647760808,2.892762323880404,2.892762323880404,4.967320261437909,0.8182043863228997,0.0
Suriname,0.002,Americas,Latin America and the Caribbean,South America,False,True,True,Upper middle income,False,True,160507.61,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.0020520004771907075,0.02564102564102564,0.007669216414005337,0.007669216414005337,7.669216414005337,3.8346082070026686,3.8346082070026686,6.7973856209150325,0.10260002385953539,0.7692307692307692
Uruguay,0.079,Americas,Latin America and the Caribbean,South America,False,False,True,High income,False,True,175020.0,True,,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,2.543,Americas,Northern America,NA,False,False,True,High income,False,True,8788700.0,True,,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
