party,component_iusaf_amt,component_tsac_amt,component_sosac_amt,tsac_iusaf_ratio,sosac_iusaf_ratio,tsac_dominant
Central African Republic,7.8431372549019605,0.3982226317120625,0.0,0.050773385543287974,0.0,False
Yemen,6.7973856209150325,0.33749013269289163,0.0,0.04964999067501194,0.0,False
Morocco,5.7516339869281055,0.2852848575124297,0.0,0.04960066272659289,0.0,False
Uzbekistan,5.7516339869281055,0.2816732522134264,0.0,0.04897273589619799,0.0,False
Paraguay,5.7516339869281055,0.25313967186143416,0.0,0.04401178385772661,0.0,False
Papua New Guinea,6.7973856209150325,0.28947815499233465,0.7692307692307692,0.04258669010944923,0.11316568047337278,False
Malaysia,4.967320261437909,0.21001644619249116,0.0,0.042279626667698876,0.0,False
Viet Nam,4.967320261437909,0.2003507676568751,0.0,0.040333772962502484,0.0,False
Philippines,4.967320261437909,0.1905968764608586,0.0,0.03837016065593601,0.0,False
Zimbabwe,6.7973856209150325,0.24728309910079196,0.0,0.03637914823309728,0.0,False
Côte d’Ivoire,5.7516339869281055,0.2032726522270954,0.0,0.035341722489483626,0.0,False
Congo,6.7973856209150325,0.21829437338224236,0.0,0.03211446069950297,0.0,False
Gabon,5.7516339869281055,0.16470837829986057,0.0,0.02863679759077121,0.0,False
Ecuador,5.7516339869281055,0.15875721983371513,0.0,0.02760210753927092,0.0,False
Burkina Faso,6.7973856209150325,0.17489118757651978,0.0,0.025729184326161083,0.0,False
Ghana,5.7516339869281055,0.14544413955719399,0.0,0.02528744699119395,0.0,False
Guyana,5.7516339869281055,0.13496537041266954,0.7692307692307692,0.02346557008311186,0.1337412587412587,False
Guinea,6.7973856209150325,0.15706967328692414,0.0,0.02310736539701865,0.0,False
Belarus,5.7516339869281055,0.1297512351163915,0.0,0.022559021560008972,0.0,False
Lao People's Democratic Republic,6.7973856209150325,0.1475324784088478,0.0,0.021704297304378572,0.0,False
Uganda,6.7973856209150325,0.12817683089489676,0.0,0.018856783775883852,0.0,False
Senegal,6.7973856209150325,0.12306944570214678,0.0,0.01810540883887352,0.0,False
Kyrgyzstan,6.7973856209150325,0.12260281351307199,0.0,0.018036760064903862,0.0,False
Syrian Arab Republic,6.7973856209150325,0.11738036832849535,0.0,0.017268458032942104,0.0,False
Tunisia,5.7516339869281055,0.09930955738994195,0.0,0.01726632077347854,0.0,False
Cambodia,6.7973856209150325,0.11283549865134236,0.0,0.016599837782360943,0.0,False
Suriname,6.7973856209150325,0.10260002385953539,0.7692307692307692,0.015094041971643187,0.11316568047337278,False
Nepal,6.7973856209150325,0.09163249904639663,0.0,0.013480550340479505,0.0,False
Cuba,4.967320261437909,0.06635126195337264,0.7692307692307692,0.013357556682718439,0.1548582995951417,False
Tajikistan,6.7973856209150325,0.08871764592012128,0.0,0.01305173060171015,0.0,False
Bangladesh,6.7973856209150325,0.08308609854238319,0.0,0.01222324334325445,0.0,False
Guatemala,5.7516339869281055,0.06849904846747026,0.0,0.011909493654003352,0.0,False
Democratic People's Republic of Korea,6.7973856209150325,0.07696874231026589,0.0,0.011323286128337193,0.0,False
Nicaragua,6.7973856209150325,0.07692399675788886,0.0,0.01131670336918942,0.0,False
Benin,6.7973856209150325,0.07207869265763295,0.0,0.01060388459290177,0.0,False
Honduras,6.7973856209150325,0.07152256936380409,0.0,0.010522070300636564,0.0,False
Eritrea,7.8431372549019605,0.07745979278649501,0.0,0.009876123580278114,0.0,False
Jordan,5.7516339869281055,0.05675909396809027,0.0,0.009868342473997512,0.0,False
